site_id,code_national_ea,numero_ea,identification_ea_brute,commune,adresse_ou_nom_lieu,pays,longitude,latitude,x_l93,y_l93,periode,sous_periode,type_site,confiance,source,notes_parsing
PATRIARCHE-111218,111218,67 152 0043,"11218 / 67 152 0043 / GEISPOLSHEIM / Parc d'Activités Aéroparc /  / Age du bronze - Age du fer / fosse, incinération, silo",GEISPOLSHEIM,Parc d'Activités Aéroparc,FR,7.645769000000001,48.51524,1042912.4503576856,6833978.923639586,indéterminé,indéterminé,nécropole,faible,Patriarche_EA_ageFer_20250806,"chrono_brut=Age du bronze - Age du fer; type_brut=fosse, incinération, silo; georef=sites_csv_commune_mean;precision=commune"
PATRIARCHE-112440,112440,67 152 0055,12440 / 67 152 0055 / GEISPOLSHEIM /  / Luetzelbruch / Age du bronze - Age du fer / fosse,GEISPOLSHEIM,,FR,7.645769000000001,48.51524,1042912.4503576856,6833978.923639586,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Luetzelbruch; chrono_brut=Age du bronze - Age du fer; type_brut=fosse; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-112755,112755,67 152 0056,12755 / 67 152 0056 / GEISPOLSHEIM /  / Geispolsqheim Gare / Age du fer / monnaie;,GEISPOLSHEIM,,FR,7.645769000000001,48.51524,1042912.4503576856,6833978.923639586,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Geispolsqheim Gare; chrono_brut=Age du fer; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-11389,11389,67 154 0001,1389 / 67 154 0001 / GERSTHEIM / / LUTTERWALD (IGN) / tumulus / Age du bronze - Age du fer,GERSTHEIM,,FR,7.703664000000002,48.387416,1048026.639549014,6820048.534652919,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=tumulus; chrono_brut=Age du bronze - Age du fer; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-11390,11390,67 154 0002,1390 / 67 154 0002 / GERSTHEIM / / OBERE MATTEN (IGN) / Age du bronze - Age du fer / butte,GERSTHEIM,,FR,7.703664000000002,48.387416,1048026.639549014,6820048.534652919,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Age du bronze - Age du fer; type_brut=butte; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-17764,17764,67 154 0016,7764 / 67 154 0016 / GERSTHEIM /  / HIRTZELMATTEN (IGN) / tumulus / Age du bronze - Age du fer,GERSTHEIM,,FR,7.703664000000002,48.387416,1048026.639549014,6820048.534652919,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,lieu_dit=HIRTZELMATTEN (IGN); chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-14969,14969,67 158 0006,4969 / 67 158 0006 / GINGSHEIM / / WEINWEG / Age du bronze - Age du fer / mobiliers divers,GINGSHEIM,,FR,,,,,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Age du bronze - Age du fer; type_brut=mobiliers divers; ban_no_result
PATRIARCHE-111190,111190,67 159 0001,11190 / 67 159 0001 / GOERLINGEN /  / Burgerwald / tumulus / Age du bronze - Age du fer,GOERLINGEN,,FR,7.080989,48.794827,999658.9824458928,6862716.936981145,indéterminé,indéterminé,tumulus,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=Burgerwald; chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=ban_municipality;precision=centroïde
PATRIARCHE-111309,111309,67 164 0008,11309 / 67 164 0008 / GOXWILLER /  /  / occupation / Age du bronze - Age du fer,GOXWILLER,,FR,7.486298,48.430678,1031688.2769711136,6823913.58018468,indéterminé,indéterminé,habitat,moyen,Patriarche_EA_ageFer_20250806,chrono_brut=Age du bronze - Age du fer; type_brut=occupation; georef=ban_municipality;precision=centroïde
PATRIARCHE-18621,18621,67 165 0013,8621 / 67 165 0013 / GRANDFONTAINE / / / Age du bronze - Age du fer / mobiliers divers,GRANDFONTAINE,,FR,7.1641777,48.51240740000001,1007416.8082976004,6831681.350396959,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Age du bronze - Age du fer; type_brut=mobiliers divers; georef=sites_csv_commune_mean;precision=commune
