site_id,code_national_ea,numero_ea,identification_ea_brute,commune,adresse_ou_nom_lieu,pays,longitude,latitude,x_l93,y_l93,periode,sous_periode,type_site,confiance,source,notes_parsing
PATRIARCHE-18148,18148,67 187 0015,8148 / 67 187 0015 / HEIDOLSHEIM /  /  / Age du bronze - Age du fer / mobiliers divers,HEIDOLSHEIM,,FR,7.517380611311041,48.20122938660949,1035442.0,6798584.0,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,chrono_brut=Age du bronze - Age du fer; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-1531,1531,67 189 0002,"531 / 67 189 0002 / HEILIGENSTEIN / / ""LE LANDSBERG"" / Age du bronze - Age du fer / mur",HEILIGENSTEIN,,FR,7.451022,48.42045,1029147.0197781939,6822630.893516677,indéterminé,indéterminé,indéterminé,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=Age du bronze - Age du fer; type_brut=mur; georef=ban_municipality;precision=centroïde
PATRIARCHE-15589,15589,67 189 0004,5589 / 67 189 0004 / HEILIGENSTEIN / / CABILIE / habitat / Age du bronze - Age du fer ?,HEILIGENSTEIN,,FR,7.451022,48.42045,1029147.0197781939,6822630.893516677,indéterminé,indéterminé,indéterminé,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=habitat; chrono_brut=Age du bronze - Age du fer ?; georef=ban_municipality;precision=centroïde
PATRIARCHE-112376,112376,67 191 0009,12376 / 67 191 0009 / HERBITZHEIM /  / Heidenwald 1 / tumulus ? / Age du bronze - Age du fer ?,HERBITZHEIM,,FR,7.082764,49.013811,998530.6905838947,6887042.131140956,indéterminé,indéterminé,tumulus,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=Heidenwald 1; chrono_brut=Age du bronze - Age du fer ?; type_brut=tumulus ?; georef=ban_municipality;precision=centroïde
PATRIARCHE-11229,11229,67 192 0002,1229 / 67 192 0002 / HERBSHEIM / / UNTEN AM STEG / tumulus / Age du bronze - Age du fer,HERBSHEIM,,FR,7.633472079112394,48.350614415184644,1043079.0,6815658.0,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=tumulus; chrono_brut=Age du bronze - Age du fer; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-11230,11230,67 192 0004,1230 / 67 192 0004 / HERBSHEIM / / BALHOEHL / tumulus / Age du bronze - Age du fer,HERBSHEIM,,FR,7.633472079112394,48.350614415184644,1043079.0,6815658.0,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=tumulus; chrono_brut=Age du bronze - Age du fer; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-11231,11231,67 192 0005,"1231 / 67 192 0005 / HERBSHEIM / / MAILY,BULLACKERHECK / tumulus / Age du bronze - Age du fer",HERBSHEIM,,FR,7.633472079112394,48.350614415184644,1043079.0,6815658.0,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=tumulus; chrono_brut=Age du bronze - Age du fer; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-15708,15708,67 196 0008,5708 / 67 196 0008 / HILSENHEIM /  / GUTHNABENWALD / tumulus / Age du fer,HILSENHEIM,,FR,7.547919521726496,48.293949050126734,1037114.0,6809002.0,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,lieu_dit=GUTHNABENWALD; chrono_brut=Age du fer; type_brut=tumulus; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-13021,13021,67 196 0011,3021 / 67 196 0011 / HILSENHEIM /  / RECHMATTEN / tumulus / Age du bronze - Age du fer,HILSENHEIM,,FR,7.547919521726496,48.293949050126734,1037114.0,6809002.0,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,lieu_dit=RECHMATTEN; chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-11240,11240,67 197 0001,1240 / 67 197 0001 / HINDISHEIM /  / AUFS BREITENBRUCH / Age du bronze - Age du fer / aménagement indéterminé,HINDISHEIM,,FR,7.639203000000001,48.46869131,1042732.1914260152,6828784.965440402,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=AUFS BREITENBRUCH; chrono_brut=Age du bronze - Age du fer; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-17066,17066,67 197 0003,7066 / 67 197 0003 / HINDISHEIM / / / Age du bronze - Age du fer / aménagement indéterminé,HINDISHEIM,,FR,7.639203000000001,48.46869131,1042732.1914260152,6828784.965440402,indéterminé,,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Age du bronze - Age du fer; chrono_brut=aménagement indéterminé; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-17827,17827,67 197 0014,7827 / 67 197 0014 / HINDISHEIM /  / HEUMAENNEL (IGN) / Age du bronze - Age du fer / aménagement indéterminé,HINDISHEIM,,FR,7.639203000000001,48.46869131,1042732.1914260152,6828784.965440402,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=HEUMAENNEL (IGN); chrono_brut=Age du bronze - Age du fer; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-17829,17829,67 197 0016,7829 / 67 197 0016 / HINDISHEIM / / EBERSCHAL / Age du bronze - Age du fer / aménagement indéterminé,HINDISHEIM,,FR,7.639203000000001,48.46869131,1042732.1914260152,6828784.965440402,indéterminé,,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Age du bronze - Age du fer; chrono_brut=aménagement indéterminé; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-19697,19697,67 197 0020,9697 / 67 197 0020 / HINDISHEIM /  / Eberschal / occupation / Age du bronze - Age du fer,HINDISHEIM,,FR,7.639203000000001,48.46869131,1042732.1914260152,6828784.965440402,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Eberschal; chrono_brut=Age du bronze - Age du fer; type_brut=occupation; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-11241,11241,67 200 0010,1241 / 67 200 0010 / HIPSHEIM / BATTERIEBUCKEL / / tumulus / Age du bronze - Age du fer,Hipsheim,BATTERIEBUCKEL,FR,7.675151,48.466011,1045402.4735871989,6828644.181815928,indéterminé,indéterminé,indéterminé,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=/ tumulus; chrono_brut=Age du bronze - Age du fer; georef=ban_municipality;precision=centroïde
PATRIARCHE-11242,11242,67 200 0011,1242 / 67 200 0011 / HIPSHEIM / FORET DE BREITLACH / AUF DER BREITLACH / tumulus / Age du bronze - Age du fer,Hipsheim,FORET DE BREITLACH,FR,7.675151,48.466011,1045402.4735871989,6828644.181815928,indéterminé,indéterminé,tumulus,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=AUF DER BREITLACH; chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=ban_municipality;precision=centroïde
PATRIARCHE-13824,13824,67 200 0012,3824 / 67 200 0012 / HIPSHEIM / / AUF DEM SIEBEL / tumulus / Age du bronze - Age du fer,Hipsheim,,FR,7.675151,48.466011,1045402.4735871989,6828644.181815928,indéterminé,indéterminé,indéterminé,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=tumulus; chrono_brut=Age du bronze - Age du fer; georef=ban_municipality;precision=centroïde
PATRIARCHE-111428,111428,67 200 0016,"11428 / 67 200 0016 / HIPSHEIM / RFF /  / Age du bronze - Age du fer / fosse, puits",Hipsheim,RFF,FR,7.675151,48.466011,1045402.4735871989,6828644.181815928,indéterminé,indéterminé,habitat,moyen,Patriarche_EA_ageFer_20250806,"chrono_brut=Age du bronze - Age du fer; type_brut=fosse, puits; georef=ban_municipality;precision=centroïde"
PATRIARCHE-11250,11250,67 201 0002,1250 / 67 201 0002 / HIRSCHLAND / FREIWALD /  / tumulus / Age du bronze - Age du fer,HIRSCHLAND,FREIWALD,FR,7.118906,48.83645,1002199.3336551697,6867483.303787724,indéterminé,indéterminé,tumulus,moyen,Patriarche_EA_ageFer_20250806,chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=ban_municipality;precision=centroïde
PATRIARCHE-11251,11251,67 201 0003,1251 / 67 201 0003 / HIRSCHLAND / GIESMANNSWALD / / tumulus / Age du bronze - Age du fer,HIRSCHLAND,GIESMANNSWALD,FR,7.118906,48.83645,1002199.3336551697,6867483.303787724,indéterminé,indéterminé,indéterminé,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=/ tumulus; chrono_brut=Age du bronze - Age du fer; georef=ban_municipality;precision=centroïde
PATRIARCHE-13997,13997,67 202 0010,3997 / 67 202 0010 / HOCHFELDEN / SANS PRECISION / / Age du fer / mobiliers divers,HOCHFELDEN,SANS PRECISION,FR,7.571376199352453,48.760019770840145,1035853.0,6860826.0,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=/ Age du fer; type_brut=mobiliers divers; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-111247,111247,67 202 0030,11247 / 67 202 0030 / HOCHFELDEN /  / Aus das Nordenbruch / occupation / Age du bronze - Age du fer,HOCHFELDEN,,FR,7.571376199352453,48.760019770840145,1035853.0,6860826.0,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Aus das Nordenbruch; chrono_brut=Age du bronze - Age du fer; type_brut=occupation; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-112917,112917,67 202 0038,12917 / 67 202 0038 / HOCHFELDEN /  / Route départemental n° 421 / occupation / Age du bronze - Age du fer,HOCHFELDEN,,FR,7.571376199352453,48.760019770840145,1035853.0,6860826.0,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Route départemental n° 421; chrono_brut=Age du bronze - Age du fer; type_brut=occupation; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-113342,113342,67 202 0040,13342 / 67 202 0040 / HOCHFELDEN /  / Rue des Coquelicots / habitat / Age du bronze - Age du fer,HOCHFELDEN,,FR,7.571376199352453,48.760019770840145,1035853.0,6860826.0,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Rue des Coquelicots; chrono_brut=Age du bronze - Age du fer; type_brut=habitat; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-17361,17361,67 204 0010,"7361 / 67 204 0010 / HOENHEIM / 17, RUE DE LA REPUBLIQUE /  / Age du bronze - Age du fer / fosse",HOENHEIM,"17, RUE DE LA REPUBLIQUE",FR,7.748813,48.6252,1049774.527966913,6846633.28448287,indéterminé,indéterminé,habitat,moyen,Patriarche_EA_ageFer_20250806,chrono_brut=Age du bronze - Age du fer; type_brut=fosse; georef=ban_municipality;precision=centroïde
PATRIARCHE-1243,1243,67 205 0005,243 / 67 205 0005 / HOERDT / / AUF DAS OBERRIED / Age du bronze - Age du fer / fosse,HOERDT,,FR,7.784844343734547,48.69741190074769,1051939.0,6854807.0,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Age du bronze - Age du fer; type_brut=fosse; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-1242,1242,67 205 0006,242 / 67 205 0006 / HOERDT / / AUF DIE STRASSE / Age du bronze - Age du fer / fosse,HOERDT,,FR,7.784844343734547,48.69741190074769,1051939.0,6854807.0,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Age du bronze - Age du fer; type_brut=fosse; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-18169,18169,67 212 0013,"8169 / 67 212 0013 / HOLTZHEIM /  / Lotissement ""La Fontaine"" / Age du bronze - Age du fer / enclos",HOLTZHEIM,,FR,7.655158400000003,48.559275099999994,1043316.2742071376,6838906.390859459,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,"lieu_dit=Lotissement ""La Fontaine""; chrono_brut=Age du bronze - Age du fer; type_brut=enclos; georef=sites_csv_commune_mean;precision=commune"
PATRIARCHE-17883,17883,67 212 0014,"7883 / 67 212 0014 / HOLTZHEIM / ZAE PHASE 3 / ALTMATT, IM BLUMENSTOECKEL / habitat / Age du bronze - Age du fer",HOLTZHEIM,ZAE PHASE 3,FR,7.655158400000003,48.559275099999994,1043316.2742071376,6838906.390859459,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,"lieu_dit=ALTMATT, IM BLUMENSTOECKEL; chrono_brut=Age du bronze - Age du fer; type_brut=habitat; georef=sites_csv_commune_mean;precision=commune"
PATRIARCHE-17948,17948,67 212 0016,7948 / 67 212 0016 / HOLTZHEIM /  / BEIM DORF / occupation / Age du bronze - Age du fer,HOLTZHEIM,,FR,7.655158400000003,48.559275099999994,1043316.2742071376,6838906.390859459,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,lieu_dit=BEIM DORF; chrono_brut=Age du bronze - Age du fer; type_brut=occupation; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-18476,18476,67 212 0020,8476 / 67 212 0020 / HOLTZHEIM / / SCHELMENGRUB / sépulture / Age du bronze - Age du fer,HOLTZHEIM,,FR,7.655158400000003,48.559275099999994,1043316.2742071376,6838906.390859459,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=sépulture; chrono_brut=Age du bronze - Age du fer; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-112194,112194,67 212 0028,"12194 / 67 212 0028 / HOLTZHEIM / PA Nord-Aéroport /  / Age du fer / fosse, silo",HOLTZHEIM,PA Nord-Aéroport,FR,7.655158400000003,48.559275099999994,1043316.2742071376,6838906.390859459,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,"chrono_brut=Age du fer; type_brut=fosse, silo; georef=sites_csv_commune_mean;precision=commune"
PATRIARCHE-112901,112901,67 213 0006,12901 / 67 213 0006 / HUNSPACH /  / Rue de Hoffen / Néolithique - Age du fer / fosse,HUNSPACH,,FR,7.934111,48.957409,1061098.6173725273,6884335.88054814,indéterminé,indéterminé,habitat,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=Rue de Hoffen; chrono_brut=Néolithique - Age du fer; type_brut=fosse; georef=ban_municipality;precision=centroïde
PATRIARCHE-11261,11261,67 214 0003,1261 / 67 214 0003 / HURTIGHEIM /  / UNTERFELD / occupation / Age du bronze - Age du fer,HURTIGHEIM,,FR,7.60941326,48.61323372,1039596.4741395006,6844696.795502995,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,lieu_dit=UNTERFELD; chrono_brut=Age du bronze - Age du fer; type_brut=occupation; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-110,110,67 214 0006,10 / 67 214 0006 / HURTIGHEIM /  / IM UNTERFELD / occupation / Age du bronze - Age du fer,HURTIGHEIM,,FR,7.60941326,48.61323372,1039596.4741395006,6844696.795502995,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,lieu_dit=IM UNTERFELD; chrono_brut=Age du bronze - Age du fer; type_brut=occupation; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-112532,112532,67 214 0011,"12532 / 67 214 0011 / HURTIGHEIM / A 355 - COS, Tronçon 3 / Auf Die Museau / occupation / Age du fer - Gallo-romain",HURTIGHEIM,"A 355 - COS, Tronçon 3",FR,7.60941326,48.61323372,1039596.4741395006,6844696.795502995,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Auf Die Museau; chrono_brut=Age du fer - Gallo-romain; type_brut=occupation; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-112590,112590,67 214 0012,12590 / 67 214 0012 / HURTIGHEIM /  / Buehl / Néolithique - Age du fer / inhumation,HURTIGHEIM,,FR,7.60941326,48.61323372,1039596.4741395006,6844696.795502995,indéterminé,indéterminé,nécropole,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Buehl; chrono_brut=Néolithique - Age du fer; type_brut=inhumation; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-15549,15549,67 218 0005,5549 / 67 218 0005 / ILLKIRCH-GRAFFENSTADEN / PRES DE LA FERME / SCHAFHARDT / Age du bronze - Age du fer / mobiliers divers,Illkirch-Graffenstaden,PRES DE LA FERME,FR,7.731711,48.507450000000006,1049300.3163505227,6833491.192426646,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=SCHAFHARDT; chrono_brut=Age du bronze - Age du fer; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-15936,15936,67 218 0018,5936 / 67 218 0018 / ILLKIRCH-GRAFFENSTADEN / GOLF D'ILLKIRCH / / occupation / Age du bronze - Age du fer,Illkirch-Graffenstaden,GOLF D'ILLKIRCH,FR,7.731711,48.507450000000006,1049300.3163505227,6833491.192426646,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=/ occupation; chrono_brut=Age du bronze - Age du fer; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-15941,15941,67 218 0022,5941 / 67 218 0022 / ILLKIRCH-GRAFFENSTADEN / / / Age du fer / fosse,Illkirch-Graffenstaden,,FR,7.731711,48.507450000000006,1049300.3163505227,6833491.192426646,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Age du fer; type_brut=fosse; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-112283,112283,67 218 0026,"12283 / 67 218 0026 / ILLKIRCH-GRAFFENSTADEN /  / Grossoberfeld / Age du bronze - Age du fer / fosse, puits",Illkirch-Graffenstaden,,FR,7.731711,48.507450000000006,1049300.3163505227,6833491.192426646,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,"lieu_dit=Grossoberfeld; chrono_brut=Age du bronze - Age du fer; type_brut=fosse, puits; georef=sites_csv_commune_mean;precision=commune"
PATRIARCHE-111220,111220,67 222 0029,11220 / 67 222 0029 / INGWILLER / Extension du lotissemement industriel /  / Age du bronze - Age du fer / trou de poteau,INGWILLER,Extension du lotissemement industriel,FR,7.477593,48.874901,1028246.3827084168,6873184.440233268,indéterminé,indéterminé,indéterminé,moyen,Patriarche_EA_ageFer_20250806,chrono_brut=Age du bronze - Age du fer; georef=ban_municipality;precision=centroïde
PATRIARCHE-112789,112789,67 223 0012,12789 / 67 223 0012 / INNENHEIM /  / Grube / Age du fer / monnaie;,INNENHEIM,,FR,7.572942,48.497079,1037659.8691929432,6831649.701752273,indéterminé,indéterminé,indéterminé,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=Grube; chrono_brut=Age du fer; georef=ban_municipality;precision=centroïde
PATRIARCHE-1566,1566,67 226 0007,566 / 67 226 0007 / ITTENHEIM /  / NEUGRABEN / occupation / Age du bronze - Age du fer,ITTENHEIM,,FR,7.593317,48.606343,1038456.4663342995,6843862.935448,indéterminé,indéterminé,habitat,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=NEUGRABEN; chrono_brut=Age du bronze - Age du fer; type_brut=occupation; georef=ban_municipality;precision=centroïde
PATRIARCHE-111215,111215,67 226 0011,11215 / 67 226 0011 / ITTENHEIM / complexe sportif / Rue de l'Erable / Age du bronze - Age du fer / fosse,ITTENHEIM,complexe sportif,FR,7.593317,48.606343,1038456.4663342995,6843862.935448,indéterminé,indéterminé,habitat,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=Rue de l'Erable; chrono_brut=Age du bronze - Age du fer; type_brut=fosse; georef=ban_municipality;precision=centroïde
PATRIARCHE-112235,112235,67 226 0015,12235 / 67 226 0015 / ITTENHEIM / TSPO /  / Age du bronze - Age du fer / fosse,ITTENHEIM,TSPO,FR,7.593317,48.606343,1038456.4663342995,6843862.935448,indéterminé,indéterminé,habitat,moyen,Patriarche_EA_ageFer_20250806,chrono_brut=Age du bronze - Age du fer; type_brut=fosse; georef=ban_municipality;precision=centroïde
PATRIARCHE-112627,112627,67 226 0018,12627 / 67 226 0018 / ITTENHEIM /  /  / Néolithique - Age du fer / silo,ITTENHEIM,,FR,7.593317,48.606343,1038456.4663342995,6843862.935448,indéterminé,indéterminé,habitat,moyen,Patriarche_EA_ageFer_20250806,chrono_brut=Néolithique - Age du fer; type_brut=silo; georef=ban_municipality;precision=centroïde
PATRIARCHE-112707,112707,67 226 0021,12707 / 67 226 0021 / ITTENHEIM /  /  / habitat / Age du fer,ITTENHEIM,,FR,7.593317,48.606343,1038456.4663342995,6843862.935448,indéterminé,indéterminé,habitat,moyen,Patriarche_EA_ageFer_20250806,chrono_brut=Age du fer; type_brut=habitat; georef=ban_municipality;precision=centroïde
PATRIARCHE-18263,18263,67 233 0013,8263 / 67 233 0013 / KERTZFELD / / EGERT / occupation / Age du bronze - Age du fer,KERTZFELD,,FR,7.568421,48.380189,1038077.7191059783,6818659.062882458,indéterminé,indéterminé,indéterminé,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=occupation; chrono_brut=Age du bronze - Age du fer; georef=ban_municipality;precision=centroïde
PATRIARCHE-16733,16733,67 234 0009,6733 / 67 234 0009 / KESKASTEL / / / Age du bronze - Age du fer / outils lithiques,KESKASTEL,,FR,7.046375,48.975416,996090.9868484761,6882640.897884499,indéterminé,indéterminé,indéterminé,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=Age du bronze - Age du fer; type_brut=outils lithiques; georef=ban_municipality;precision=centroïde
PATRIARCHE-18357,18357,67 235 0003,8357 / 67 235 0003 / KESSELDORF /  /  / nécropole / Age du bronze - Age du fer,KESSELDORF,,FR,8.0754322,48.88137557000002,1071970.1231717917,6876553.828402735,indéterminé,indéterminé,nécropole,faible,Patriarche_EA_ageFer_20250806,chrono_brut=Age du bronze - Age du fer; type_brut=nécropole; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-18358,18358,67 235 0004,8358 / 67 235 0004 / KESSELDORF / / / tumulus / Age du bronze - Age du fer,KESSELDORF,,FR,8.0754322,48.88137557000002,1071970.1231717917,6876553.828402735,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=tumulus; chrono_brut=Age du bronze - Age du fer; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-1263,1263,67 236 0002,263 / 67 236 0002 / KIENHEIM / / KLEIN KREUZ / Age du bronze - Age du fer / fosse,KIENHEIM,,FR,7.579844,48.690928,1036919.7162625915,6853193.1922201775,indéterminé,indéterminé,habitat,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=Age du bronze - Age du fer; type_brut=fosse; georef=ban_municipality;precision=centroïde
PATRIARCHE-111178,111178,67 240 0003,11178 / 67 240 0003 / KIRCHHEIM /  / Walck / occupation / Age du fer - Gallo-romain,KIRCHHEIM,,FR,7.493945,48.608331,1031129.7093905394,6843662.25040265,indéterminé,indéterminé,habitat,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=Walck; chrono_brut=Age du fer - Gallo-romain; type_brut=occupation; georef=ban_municipality;precision=centroïde
PATRIARCHE-18419,18419,67 248 0004,8419 / 67 248 0004 / KRAUTERGERSHEIM / / / Age du bronze - Age du fer / mobiliers divers,KRAUTERGERSHEIM,,FR,7.567905999999996,48.47978499999999,1037399.580519656,6829708.984068636,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Age du bronze - Age du fer; type_brut=mobiliers divers; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-111766,111766,67 248 0012,11766 / 67 248 0012 / KRAUTERGERSHEIM /  / Weiden / occupation / Age du bronze - Age du fer,KRAUTERGERSHEIM,,FR,7.567905999999996,48.47978499999999,1037399.580519656,6829708.984068636,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Weiden; chrono_brut=Age du bronze - Age du fer; type_brut=occupation; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-112424,112424,67 248 0013,12424 / 67 248 0013 / KRAUTERGERSHEIM / Lotissement Nord /  / environnement / habitat / Age du fer,KRAUTERGERSHEIM,Lotissement Nord,FR,7.567905999999996,48.47978499999999,1037399.580519656,6829708.984068636,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,chrono_brut=Age du fer; type_brut=environnement; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-112279,112279,67 252 0006,12279 / 67 252 0006 / KURTZENHOUSE / Lotissement Galgenstraenge IV /  / atelier métallurgique / Age du fer,KURTZENHOUSE,Lotissement Galgenstraenge IV,FR,7.808074,48.739992,1053357.4151631058,6859636.134145607,indéterminé,indéterminé,atelier,moyen,Patriarche_EA_ageFer_20250806,chrono_brut=Age du fer; type_brut=atelier métallurgique; georef=ban_municipality;precision=centroïde
PATRIARCHE-113347,113347,67 256 0023,13347 / 67 256 0023 / LAMPERTHEIM /  / Rue de la Souffel / occupation / Age du fer ?,LAMPERTHEIM,,FR,7.690043449999998,48.64867536,1045296.0485582164,6848979.810425828,indéterminé,indéterminé,habitat,faible,Patriarche_EA_ageFer_20250806,lieu_dit=Rue de la Souffel; chrono_brut=Age du fer ?; type_brut=occupation; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-15829,15829,67 261 0011,5829 / 67 261 0011 / LAUTERBOURG / / / Age du bronze - Age du fer / mobiliers divers,Lauterbourg,,FR,8.182747,48.968013,1079191.9735986162,6886678.199576333,indéterminé,indéterminé,indéterminé,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=Age du bronze - Age du fer; type_brut=mobiliers divers; georef=ban_municipality;precision=centroïde
PATRIARCHE-11285,11285,67 263 0005,1285 / 67 263 0005 / LEMBACH / / / tumulus / Age du bronze - Age du fer,LEMBACH,,FR,7.792589,49.007165,1050418.7299344018,6889221.035080229,indéterminé,indéterminé,indéterminé,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=tumulus; chrono_brut=Age du bronze - Age du fer; georef=ban_municipality;precision=centroïde
PATRIARCHE-1558,1558,67 264 0001,558 / 67 264 0001 / LEUTENHEIM / HEXENBERG / HEIDENBERG / enceinte / Age du bronze - Age du fer,LEUTENHEIM,HEXENBERG,FR,8.022677,48.845419,1068363.1728520927,6872316.473055505,indéterminé,indéterminé,oppidum,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=HEIDENBERG; chrono_brut=Age du bronze - Age du fer; type_brut=enceinte; georef=ban_municipality;precision=centroïde
PATRIARCHE-1139,1139,67 264 0006,139 / 67 264 0006 / LEUTENHEIM / AU SUD DE LA MAISON FORESTIERE / KOENIGSBRUCK / tumulus / Age du fer,LEUTENHEIM,AU SUD DE LA MAISON FORESTIERE,FR,8.022677,48.845419,1068363.1728520927,6872316.473055505,indéterminé,indéterminé,tumulus,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=KOENIGSBRUCK; chrono_brut=Age du fer; type_brut=tumulus; georef=ban_municipality;precision=centroïde
PATRIARCHE-1177,1177,67 264 0007,"177 / 67 264 0007 / LEUTENHEIM / GROUPE SUD,AU NORD DU KLOSTERGRABEN / FORET DE HAGUENAU-CANTON DE KOENIGSBRUCK / tumulus / Age du bronze - Age du fer",LEUTENHEIM,"GROUPE SUD,AU NORD DU KLOSTERGRABEN",FR,8.022677,48.845419,1068363.1728520927,6872316.473055505,indéterminé,indéterminé,tumulus,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=FORET DE HAGUENAU-CANTON DE KOENIGSBRUCK; chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=ban_municipality;precision=centroïde
