Département,Site,Lieu dit,X(L93),Y(L93),Année fouille,N° structure,N° individu,Type de silo,Nord-Ouest/Sud-Est,Nord-Est/Sud-Ouest,Nord/Sud,Est/Ouest,Indéterminée,Remarque,Tête au Nord,Tête au Nord-Est,Tête au Nord-Ouest,Tête au Sud,Tête au Sud-Est,Tête au Sud-Ouest,Tête à l'Est,Tête à l'Ouest,Tête indéterminé,Fond,Sur le premier dôme,Sommet,Indéterminée.1,Homme,Femme,Indéterminé,Périnatal (1-6 mois),Enfant (6 mois-9 ans),Adolescent (10-19 ans),Adulte jeune (20-30 ans),Adulte mature (30-59 ans),Adulte âgé (plus de 59 ans),Indéterminé.1,Précision âge,Arthrose,Tassement vetébral,Ostéoporose,Usure dentaire importante,Atteintes dentaires,Pertes dentaires,Agénésie dentaire,Parodontose,Enthésopathie,Facettes d'accroupissement,Processus de Stieda,Pathologies articulaires et périarticulaires,Scoliose,Asymétrie des os longs,Lésions traumatiques,Lésions infectieuses,Hypoplasies dentaires (stress biologique pendant l'enfance),Cribra orbitalia (stress biologique),Ostéochondrite disséquante,Spina bifida occulta,Vertèbres lombaires avec ostéophytes,Aucune,Pas de données,Remarque.1,sur le dos,sur le côté,sur le ventre,Assis,Indéterminée.2,Membres inférieurs fléchis,Membres supérieurs fléchis,Position du squelette,Espace vide,Espace colmaté,Enveloppe textile souple,Indéterminé.2,Remarques,Réinterventions,Présence de parure,Absence de parure,Bracelet,Anneau de chevile,Fibule,Bague,Torque,Agrafe de ceinture,boucle d'oreille,Dépôt de faune,Datation absolue,num datation (code labo),âge radiocarbone,14C (2 sigma),Datation relative,biblio,notes_datation,x_l93,y_l93,has_coords,coord_flag,pays,commune,nom_site,type_site,periode_key,sous_periode,datation_debut,datation_fin,periode,longitude,latitude,lieu_dit_norm,commune_norm,agg_key,site_id_resolved
67,Erstein,Grassweg,1042915,6824866,2017,182,1,fosse,,,1,,,,1,,,,,,,,,1,,,,,,1,,1,,,,,,3-6 ans,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,1,"sur le côté gauche, membres fléchis portés vers la gauche",,,,1,espace de décomposition mixte? colmatage partiel??,,,,,,,,,,,,1,Poz-69547,2725 ± 30 BP,924 et 812 av. J.-C.,Bronze final IIIb,,,1042915.0,6824866.0,True,,FR,Erstein,Erstein - Grassweg,nécropole,INDETERMINE,,,,indéterminé,7.638559202028453,48.43339954004434,grassweg,erstein,erstein|grassweg|1042900|6824850,SITE-1925b27c6f73ee9a
67,Ettendorf,Gaentzbruch,1036049,6867096,2001,107,1,fond de fosse,,1,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,squelette incomplet. Position complète indéterminée,,,,1,squelette perturbé par pelle méca.,,,1,,,,,,,,,,GrN-26221,2780 ± 35,1011-832 avant J.-C.,Bz FIN,"PEYTREMANN (É.) dir. — Une zone de stockage (âge du Bronze final et de La Tène) à Ettendorf (Bas-Rhin) : rapport de fouille. Moulins-lès-Metz : Inrap GE, 2002. 147 p.",,1036049.0,6867096.0,True,,FR,Ettendorf,Ettendorf - Gaentzbruch,nécropole,INDETERMINE,,,,indéterminé,7.5789814494382295,48.81621391408036,gaentzbruch,ettendorf,ettendorf|gaentzbruch|1036050|6867100,SITE-c7bb40201db1d25b
67,Ettendorf,Gaentzbruch,1036049,6867096,2001,118,3,Tronconique,,,1,,,,,,,1,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,,3,,,,,1,GrN-26623,2300 ± 45,406-202 avant J.-C.,LT B1-C1,"PEYTREMANN (É.) dir. — Une zone de stockage (âge du Bronze final et de La Tène) à Ettendorf (Bas-Rhin) : rapport de fouille. Moulins-lès-Metz : Inrap GE, 2002. 147 p.",,1036049.0,6867096.0,True,,FR,Ettendorf,Ettendorf - Gaentzbruch,nécropole,LA_TENE,LT B1,-380.0,-200.0,La Tène,7.5789814494382295,48.81621391408036,gaentzbruch,ettendorf,ettendorf|gaentzbruch|1036050|6867100,SITE-c7bb40201db1d25b
67,Ettendorf,Gaentzbruch,1036049,6867096,2001,118,4,Tronconique,,,,1,,,,,,,,,,,1,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,1,,,,,,,,,1,,,,LT B1-C1,"PEYTREMANN (É.) dir. — Une zone de stockage (âge du Bronze final et de La Tène) à Ettendorf (Bas-Rhin) : rapport de fouille. Moulins-lès-Metz : Inrap GE, 2002. 147 p.",,1036049.0,6867096.0,True,,FR,Ettendorf,Ettendorf - Gaentzbruch,nécropole,LA_TENE,LT B1,-380.0,-200.0,La Tène,7.5789814494382295,48.81621391408036,gaentzbruch,ettendorf,ettendorf|gaentzbruch|1036050|6867100,SITE-c7bb40201db1d25b
67,Ettendorf,Gaentzbruch,1036049,6867096,2001,167,X,Tronconique,,1,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,1,,,,,1,,1,,,,,,,,,1,GrN-26622,2250 ± 40,388-200 avant J.-C.,LT B1-C1,"PEYTREMANN (É.) dir. — Une zone de stockage (âge du Bronze final et de La Tène) à Ettendorf (Bas-Rhin) : rapport de fouille. Moulins-lès-Metz : Inrap GE, 2002. 147 p.",,1036049.0,6867096.0,True,,FR,Ettendorf,Ettendorf - Gaentzbruch,nécropole,LA_TENE,LT B1,-380.0,-200.0,La Tène,7.5789814494382295,48.81621391408036,gaentzbruch,ettendorf,ettendorf|gaentzbruch|1036050|6867100,SITE-c7bb40201db1d25b
67,Geispolsheim,Schwobenfeld,1043723,6836657,2007,5010,A,Cylindrique,,1,,,,,,1,,,,,,,,,1,,,1,,,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,,,,,,,1,,,,,1,1,,1,,,,,,,1,,,,,,,,,,,,,LT A2-B1,"LANDOLT (M.) dir. — Entzheim-Geispolsheim (Alsace, Bas-Rhin), aéroparc (LIDL-CUS) : rapport de fouille préventive. Sélestat : PAIR, 2007. 5 vol., 1565 p.",,1043723.0,6836657.0,True,,FR,Geispolsheim,Geispolsheim - Schwobenfeld,nécropole,LA_TENE,LT A,-450.0,-320.0,La Tène,7.658863102027814,48.53886008120634,schwobenfeld,geispolsheim,geispolsheim|schwobenfeld|1043700|6836650,SITE-8694b63434878994
67,Geispolsheim,Schwobenfeld,1043723,6836657,2007,5010,B,Cylindrique,,1,,,,,,,,,,1,,,,,1,,,,1,,,,,,,1,,Âgé ?,1,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,1,1,,,1,,,,,1,,1,,,,1,,,,,,,,LT A2-B1,"LANDOLT (M.) dir. — Entzheim-Geispolsheim (Alsace, Bas-Rhin), aéroparc (LIDL-CUS) : rapport de fouille préventive. Sélestat : PAIR, 2007. 5 vol., 1565 p.",,1043723.0,6836657.0,True,,FR,Geispolsheim,Geispolsheim - Schwobenfeld,nécropole,LA_TENE,LT A,-450.0,-320.0,La Tène,7.658863102027814,48.53886008120634,schwobenfeld,geispolsheim,geispolsheim|schwobenfeld|1043700|6836650,SITE-8694b63434878994
67,Geispolsheim,Schwobenfeld,1043723,6836657,2007,5015,X,Cylindrique,1,,,,,,,,1,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,,Fracture consolidée (clavicule),,1,,,,1,1,,1,,,,,,1,,,,,1,,,,,,,,,LT A2-B1,"LANDOLT (M.) dir. — Entzheim-Geispolsheim (Alsace, Bas-Rhin), aéroparc (LIDL-CUS) : rapport de fouille préventive. Sélestat : PAIR, 2007. 5 vol., 1565 p.",,1043723.0,6836657.0,True,,FR,Geispolsheim,Geispolsheim - Schwobenfeld,nécropole,LA_TENE,LT A,-450.0,-320.0,La Tène,7.658863102027814,48.53886008120634,schwobenfeld,geispolsheim,geispolsheim|schwobenfeld|1043700|6836650,SITE-8694b63434878994
67,Geispolsheim,Schwobenfeld,1043723,6836657,2008,5229,X,Tronconique,,,1,,,,1,,,,,,,,,1,,,,,,1,,1,,,,,,4-8 ans,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,LT A2-B1,"LANDOLT (M.) dir. — Entzheim-Geispolsheim, Bas-Rhin, Lotissement d’activités du quadrant 4 ; Entzheim « In der Klamm » et Geispolsheim « Schwobenfeld » : des habitats et une nécropole néolithiques, des habitats protohistoriques, un habitat antique, un habitat et une aire funéraire mérovingiens, une position fortifiée allemande de la Première Guerre Mondiale : rapport de fouille préventive. Sélestat : PAIR, 2013. 6 vol., 2780 p.",,1043723.0,6836657.0,True,,FR,Geispolsheim,Geispolsheim - Schwobenfeld,nécropole,LA_TENE,LT A,-450.0,-320.0,La Tène,7.658863102027814,48.53886008120634,schwobenfeld,geispolsheim,geispolsheim|schwobenfeld|1043700|6836650,SITE-8694b63434878994
67,Geispolsheim,Schwobenfeld,1043723,6836657,2008,5252,X,Bouteille,,1,,,,,,,,,,1,,,,,1,,,,1,,,,,,1,,,20-29 ans,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,Mains derrière le dos,1,,1,,,,,1,,,,,,,,,,,,,LT A2-B1,"LANDOLT (M.) dir. — Entzheim-Geispolsheim, Bas-Rhin, Lotissement d’activités du quadrant 4 ; Entzheim « In der Klamm » et Geispolsheim « Schwobenfeld » : des habitats et une nécropole néolithiques, des habitats protohistoriques, un habitat antique, un habitat et une aire funéraire mérovingiens, une position fortifiée allemande de la Première Guerre Mondiale : rapport de fouille préventive. Sélestat : PAIR, 2013. 6 vol., 2780 p.",,1043723.0,6836657.0,True,,FR,Geispolsheim,Geispolsheim - Schwobenfeld,nécropole,LA_TENE,LT A,-450.0,-320.0,La Tène,7.658863102027814,48.53886008120634,schwobenfeld,geispolsheim,geispolsheim|schwobenfeld|1043700|6836650,SITE-8694b63434878994
67,Geispolsheim,Schwobenfeld,1043723,6836657,2008,5553,X,Tronconique,1,,,,,,,,1,,,,,,,,1,,,1,,,,,,,1,,,,1,,,1,1,1,,,,,,,,,1,,,,,,,,,"Anciennes fractures consolidées (clavicule, métacarpien)
Trauma. rachis",1,,,,,,,,1,,,,,1,,1,,,,,,,,1,1,Poz-32051,2305 ± 35,412-210 avant J.-C.,LT A2-B1,"LANDOLT (M.) dir. — Entzheim-Geispolsheim, Bas-Rhin, Lotissement d’activités du quadrant 4 ; Entzheim « In der Klamm » et Geispolsheim « Schwobenfeld » : des habitats et une nécropole néolithiques, des habitats protohistoriques, un habitat antique, un habitat et une aire funéraire mérovingiens, une position fortifiée allemande de la Première Guerre Mondiale : rapport de fouille préventive. Sélestat : PAIR, 2013. 6 vol., 2780 p.",,1043723.0,6836657.0,True,,FR,Geispolsheim,Geispolsheim - Schwobenfeld,nécropole,LA_TENE,LT A,-450.0,-320.0,La Tène,7.658863102027814,48.53886008120634,schwobenfeld,geispolsheim,geispolsheim|schwobenfeld|1043700|6836650,SITE-8694b63434878994
67,Geispolsheim,Schwobenfeld,1043723,6836657,2007,5254/206,X,Tronconique,,1,,,,,,1,,,,,,,,,,1,,,,1,,1,,,,,,16-19 mois,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,1,Poz-32085,2435 ± 35,752-404 avant J.-C.,Hallstatt C,"LANDOLT (M.) dir. — Entzheim-Geispolsheim, Bas-Rhin, Lotissement d’activités du quadrant 4 ; Entzheim « In der Klamm » et Geispolsheim « Schwobenfeld » : des habitats et une nécropole néolithiques, des habitats protohistoriques, un habitat antique, un habitat et une aire funéraire mérovingiens, une position fortifiée allemande de la Première Guerre Mondiale : rapport de fouille préventive. Sélestat : PAIR, 2013. 6 vol., 2780 p.",,1043723.0,6836657.0,True,,FR,Geispolsheim,Geispolsheim - Schwobenfeld,nécropole,HALLSTATT,Ha C,-800.0,-620.0,Hallstatt,7.658863102027814,48.53886008120634,schwobenfeld,geispolsheim,geispolsheim|schwobenfeld|1043700|6836650,SITE-8694b63434878994
67,Gougenheim,Gingsheimer Feld,1037853,6855275,2009,1024,1,Tronconique,,,,1,,dépôt en cours de comblement de la fosse,,,,,,,1,,,,,,1,,,1,,,1,,,,,10/15 ans,,,,,,,,,,,,,,,1,,,,,,,,,fractures 2 côtes,,,1,,,,,"sur le ventre, membres inf en extension, membres sup plié sous lui",,1,,,colmatage rapide du dépôt,,,1,,,,,,,,,1,Poz-36573,2265 ± 30,398-209 av. J.-C.,LT B1-C1,"THOMAS (Y.) dir. — Gougenheim (Bas-Rhin), « Ginsheimer Feld », « Burgweg », « Beim Burgweg » , LGV Est-Européenne, 2e phase, tronçon H - site 9.2 : habitat et inhumations en fosses circulaires du Néolithique récent et occupations du Néolithique ancien au second âge du Fer : rapport de fouille. Dijon : Inrap GES, 2016. 2 vol. : 320 p. et 378 p.",,1037853.0,6855275.0,True,,FR,Gougenheim,Gougenheim - Gingsheimer Feld,nécropole,LA_TENE,LT B1,-380.0,-200.0,La Tène,7.594146421901421,48.70913375348961,gingsheimer feld,gougenheim,gougenheim|gingsheimer feld|1037850|6855300,SITE-8d3922c765a66589
67,Gougenheim,Gingsheimer Feld,1037853,6855275,2009,1041,1,Fond de fosse,,,,1,,,,,,,,,,1,,1,,,,,,1,,,1,,,,,10/15 ans,,,,,,,,,,,,,,,1,,,,,,,,,maladie infectieuse peut être?,1,,,,,1,1,"sur le dos, membres inf et sup fléchis et portés sur la droite",1,,,,,,,1,,,,,,,,,1,Poz-36577,2495 ± 30,784-511 av. J.-C.,Hallstatt C-D2,"THOMAS (Y.) dir. — Gougenheim (Bas-Rhin), « Ginsheimer Feld », « Burgweg », « Beim Burgweg » , LGV Est-Européenne, 2e phase, tronçon H - site 9.2 : habitat et inhumations en fosses circulaires du Néolithique récent et occupations du Néolithique ancien au second âge du Fer : rapport de fouille. Dijon : Inrap GES, 2016. 2 vol. : 320 p. et 378 p.",,1037853.0,6855275.0,True,,FR,Gougenheim,Gougenheim - Gingsheimer Feld,nécropole,HALLSTATT,Ha C,-800.0,-540.0,Hallstatt,7.594146421901421,48.70913375348961,gingsheimer feld,gougenheim,gougenheim|gingsheimer feld|1037850|6855300,SITE-8d3922c765a66589
67,Gougenheim,Steinbrunnen,1037050,6855282,2010,1064b,1,Cylindrique,,,1,,,,1,,,,,,,,,,1,,,,,1,,1,,,,,,1-4 ans,,,,,,,,,,,,,,,,1,,,,,,,,"remaniements du périoste en face
endocrânienne et l’os frontal montre des lésions serpigineuses, ces dernières
étant typiques d’une maladie pulmonaire",,1,,,,,1,"jambes détruites par pelle méca. sur le côté G, membre sup G replié",,,,1,,,,1,,,,,,,,,,,,,Hallstatt C1-C2 minimum,,,1037050.0,6855282.0,True,,FR,Gougenheim,Gougenheim - Steinbrunnen,nécropole,HALLSTATT,Ha C,-800.0,-620.0,Hallstatt,7.583257233466109,48.709616087536865,steinbrunnen,gougenheim,gougenheim|steinbrunnen|1037050|6855300,SITE-836308db1048e82f
67,Goxwiller-Valff,ZAC PAEI,1032466,6823746,2011,287,x,Tronconique,,,,1,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,1,,,1,1,,,,,1,,,,,,,,,1,Poz-47205,2510 ± 35,791-519 avant J.-C.,Ha D3,,,1032466.0,6823746.0,True,,FR,Goxwiller-Valff,Goxwiller-Valff - ZAC PAEI,nécropole,HALLSTATT,Ha D3,-500.0,-450.0,Hallstatt,7.496665566283194,48.42877505160205,zac paei,goxwiller valff,goxwiller valff|zac paei|1032450|6823750,SITE-3596060c1b055d82
67,Griesheim sur Souffel,Flaschen,1023878,6782508,2018,201,1,Tronconique,1,,,,,,,,1,,,,,,,1,,,,,1,,,,,,1,,,>25,,,,1,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,sur le dos,1,,,,,,1,,,,1,1,,,,,,Poz-105230,2200 ± 30,366-192 av. J.-C,La Tène B-C1,,,1023878.0,6782508.0,True,,FR,Griesheim sur Souffel,Griesheim sur Souffel - Flaschen,nécropole,LA_TENE,LT B1,-380.0,-200.0,La Tène,7.350055545893113,48.06263979258623,flaschen,griesheim sur souffel,griesheim sur souffel|flaschen|1023900|6782500,SITE-e5218169732dafab
67,Griesheim sur Souffel,Flaschen,1023878,6782508,2018,290,1,Tronconique,,,,1,,,,,,,,,1,,,,1,,,,1,,,,,,,1,,,1,,,,1,1,,,,,,1,,,,,,,,,,,,traces de charognage (carnivore) : silo laissé ouvert pendant décompo cadavre,,1,,,,1,,"sur le dos, membres inf fléchis les genoux sur la droite, les bras étendus face à lui",1,,,,"il manque des éléments, prélèvements anthropiques + par animaux carnivores",1,,1,,,,,,,,,1,Poz-105229,2885 ±30,1193-952 av. J.-C.,Bronze final,,,1023878.0,6782508.0,True,,FR,Griesheim sur Souffel,Griesheim sur Souffel - Flaschen,nécropole,INDETERMINE,,,,indéterminé,7.350055545893113,48.06263979258623,flaschen,griesheim sur souffel,griesheim sur souffel|flaschen|1023900|6782500,SITE-e5218169732dafab
67,Schiltigheim,37 rue d'Adelshoffen,1050157,6844789,2018,14,1,Tronconique,,,1,,,,,,,1,,,,,,,1,,,,,1,,1,,,,,,1-4 ans,,,,,,,,,,,,,,,,,,,,,,1,,squelette perturbé à la pelle. position tapho ND. Localisation approximative.,1,,,,,,,squelette perturbé à la pelle. poisition tapho ND,,,,1,squelette perturbé à la pelle. poisition tapho ND,,,1,,,,,,,,,,,,,Bz Final (Ha B1),"Arnold et al. 2020, Schiltigheim 37a rue d'Adelshoffen, Rapport de fouille préventive, p. 103-128",,1050157.0,6844789.0,True,,FR,Schiltigheim,Schiltigheim - 37 rue d'Adelshoffen,nécropole,INDETERMINE,,,,indéterminé,7.752487989880408,48.60843368913151,37 rue d adelshoffen,schiltigheim,schiltigheim|37 rue d adelshoffen|1050150|6844800,SITE-d8c336c23a227be8
67,Hochfelden,RD421,1034925,6860177,2022,140,x,fond de fosse,,1,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,> 23 ans,,,,1,,,,,,,,,,,,,,,,,,,,"caries, usure, tartre, ossification coup tranchant (pariétal G), enthésopathies (dsl je sais pas ou les mettre alors j'ai mis la liste là!)",1,,,,,1,1,,,1,,,,,1,,1,,,,,,,,,,,,Hallstatt,,rapport en cours,1034925.0,6860177.0,True,,FR,Hochfelden,Hochfelden - RD421,nécropole,HALLSTATT,,-800.0,-450.0,Hallstatt,7.5582636760236435,48.75467465506456,rd421,hochfelden,hochfelden|rd421|1034900|6860200,SITE-0b7294737953970d
67,Ittenheim,Achenheimer Berg (COS 2-11),1039598,6842391,2018,9,x,Tronconique,,,,,1,,,,,1,,,,,,,1,,,,,1,,1,,,,,,6 mois - 1 an,,,,,,,,,,,,,,,,,,,,,,,,Hyperostose poreuse de stade B (protocole S. Kacki),,,,,1,,,Squelette très fortement perturbé,,,,1,,,,1,,,,,,,,,1,Poz-113992 ,2475 ± 30,771-431 avant J.-C.,Ha C-LT A,,,1039598.0,6842391.0,True,,FR,Ittenheim,Ittenheim - Achenheimer Berg (COS 2-11),nécropole,TRANSITION,Ha D3 / LT A,-500.0,-400.0,Transition,7.607609754812237,48.59252720627443,achenheimer berg cos 2 11,ittenheim,ittenheim|achenheimer berg cos 2 11|1039600|6842400,SITE-39a9703eaffb123a
67,Kolbsheim,"Herenweg - COS 2,6",1037553,6840045,2018,280,1,Fond de fosse,,,,1,,"dalles de grès
sur le défunt",,,,,,,,1,,,1,,,1,,,,,1,,,,,16-19,,,,,1,,,,,,,,,,1,,,,,,,,,fracture métaphysaire col fémur durant l'enfance. Boitement,,1,,,,1,1,"sur le côté G, face contre sol, membres inf fléchis genoux vers la G, membres sup en face de lui",,1,,,,,,,,,,,,,,,1,Poz-113811,2520  ± 30,795-542 av. J.-C.,Hallstatt C-D1,,,1037553.0,6840045.0,True,,FR,Kolbsheim,"Kolbsheim - Herenweg - COS 2,6",nécropole,HALLSTATT,Ha C,-800.0,-540.0,Hallstatt,7.578082501661762,48.57252923389938,herenweg cos 2 6,kolbsheim,kolbsheim|herenweg cos 2 6|1037550|6840050,SITE-13c8cbd1e41ba716
67,Marlenheim,Rue du Général De Gaulle,1030749,6845060,2014,40,X,tronconique, , , ,1, , , , , , , , ,1, , , , , ,1, , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,Localisation imprécise : centroïde commune, , , , ,1, , , , , , ,1, , , ,1, , , , , , , , ,X,Poz-65556,2310 ± 30 BP,411-235 avant J.-C.,LT B-C,"CHÂTELET (M.) dir. — En traversant Marlenheim : le suivi archéologique des travaux de réfection de la rue du Général de Gaulle : une percée dans l’histoire du village et de son site, de La Tène ancienne à l’époque actuelle : Marlenheim, Bas-Rhin, Traversée de Marlenheim - entre la place des Forgerons et la rue du Capitaine North - entre la rue de la Monnaie et la sortie ouest de Marlenheim, Grand Est : rapport de fouille archéologique. Metz : Inrap GE, 2018. 247 p.","Simple surveillance de travaux, structure prise dans la berme, juste quelques os prélevés",1030749.0,6845060.0,True,,FR,Marlenheim,Marlenheim - Rue du Général De Gaulle,nécropole,LA_TENE,LT B1,-380.0,-200.0,La Tène,7.489866781291321,48.62107824223797,rue du general de gaulle,marlenheim,marlenheim|rue du general de gaulle|1030750|6845050,SITE-3d04e3c64db8b45e
67,Meistratzheim,Foegel,1036321,6826558,2007,199,x,Fond de fosse,,,1,,,,,,,1,,,,,,1,,,,,1,,,,,1,,,,20-49 ans,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,1,,,1,,,,,,,,,,,,,,,1,GrN-31350,2470 ± 40,674-479 avant J.-C.,Ha C-Ha D3,,,1036321.0,6826558.0,True,,FR,Meistratzheim,Meistratzheim - Foegel,nécropole,HALLSTATT,Ha C,-800.0,-450.0,Hallstatt,7.5508800420042,48.45204545318851,foegel,meistratzheim,meistratzheim|foegel|1036300|6826550,SITE-87c4a990950b9cc9
67,Meistratzheim,Pfett (station d'épuration),1023878,6782508,2009,244,1,piriforme,,,1,,,,1,,,,,,,,,,1,,,,1,,,,,,1,,,25-49,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,"sur le dos, membres sup fléchis",1,,,,réintervention anthropique possible mais pas sûre,1,,1,,,,,,,,,1,Poz-32448,2855 ± 35,1125-913 avant J.-C.,Bronze final 3a-3b,,,1023878.0,6782508.0,True,,FR,Meistratzheim,Meistratzheim - Pfett (station d'épuration),nécropole,INDETERMINE,,,,indéterminé,7.350055545893113,48.06263979258623,pfett station d epuration,meistratzheim,meistratzheim|pfett station d epuration|1023900|6782500,SITE-73d326f088757425
67,Meistratzheim,Pfett (station d'épuration),1023878,6782508,2009,244,2,piriforme,,,,,1,,,,,,,,,,1,,1,,,,,1,,1,,,,,,9 mois,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,indét,1,,,,,1,,1,,,,,,,,,,,,,Bronze final 3a-3b,,,1023878.0,6782508.0,True,,FR,Meistratzheim,Meistratzheim - Pfett (station d'épuration),nécropole,INDETERMINE,,,,indéterminé,7.350055545893113,48.06263979258623,pfett station d epuration,meistratzheim,meistratzheim|pfett station d epuration|1023900|6782500,SITE-73d326f088757425
67,Meistratzheim,Pfett (station d'épuration),1023878,6782508,2009,560,1,"dépôt bébé en vase de stockage
fosse irrégulière",,,,,1,,,,,,,,,,1,,,,1,,,1,1,,,,,,,3-6 mois,,,,,,,,,,,,,,,,,,,,,,1,,pathologie infectieuse,1,,,,,,,"sur le dos, dans le comblement du vase",,,,1,dépôt dans un vase déjà abandonné et cassé et un peu rempli ?? le vase s'est recassé par dessus,,,,,,,,,,,,,,,,Hallstatt D1,,,1023878.0,6782508.0,True,,FR,Meistratzheim,Meistratzheim - Pfett (station d'épuration),nécropole,HALLSTATT,Ha D1,-620.0,-540.0,Hallstatt,7.350055545893113,48.06263979258623,pfett station d epuration,meistratzheim,meistratzheim|pfett station d epuration|1023900|6782500,SITE-73d326f088757425
67,Mittelhausen,"Langmatt, LGV 9-3",1040154,6854624,2009,2, ,Cylindrique, , , ,1, , , , , , , , , ,1, , , ,1, , ,1, , , , ,x,x,x, ,"plus de 20 ans, probablement agé", , , ,1, ,1, , , , , , , , , , , , , , , , , ,Hyperostose frontale,1, , , , , , , , , ,1, , , ,1, , , , , , , ,1, , , , , ,Ha D,"THOMAS (Y.) dir. — Mittelhausen (67), Gugenheimer Abwand, Langmatt, Tronçon H, site LGV 9-3 ; Vestiges d’habitat du Ha D et de la séquence 400-200 cal. BC., traces d’un chemin médiéval : rapport final d’opération, fouilles archéologiques. Dijon : Inrap GES, 2013. 94 p.",,1040154.0,6854624.0,True,,FR,Mittelhausen,"Mittelhausen - Langmatt, LGV 9-3",nécropole,HALLSTATT,Ha D,-620.0,-450.0,Hallstatt,7.624846399205004,48.702080907300726,langmatt lgv 9 3,mittelhausen,mittelhausen|langmatt lgv 9 3|1040150|6854600,SITE-d45f382f9d1fac7b
67,Mittelhausen,Liesbuehl Gimbretter Weg (LGV 10-1),1039860,6854762,2009,26,X,Fond de fosse,,1,,,,,,,,,,1,,,,1,,,,1,,,,,,,1,,,≥ 30 ans,1,,,1,,1,,,1,,,,,,1,,,,,1,,,,Luxation de l'épaule gauche,1,,,,,,,,1,,,,"indices d'un coffrage, coussin funéraire ?",,1,,,,,,,1,,,1,Poz-37563,2430 ± 30,750-403 avant J.-C.,LT A,"Croutsch et al. 2011 , p. 146",,1039860.0,6854762.0,True,,FR,Mittelhausen,Mittelhausen - Liesbuehl Gimbretter Weg (LGV 10-1),nécropole,LA_TENE,LT A,-450.0,-380.0,La Tène,7.620967879215451,48.70347473809525,liesbuehl gimbretter weg lgv 10 1,mittelhausen,mittelhausen|liesbuehl gimbretter weg lgv 10 1|1039850|6854750,SITE-06701198598ca73f
67,Mittelhausen,Vorderen Berg,1039270,6854967,2008,98,X,Tronconique,,1,,,,,,,,,,1,,,,,1,,,,1,,,,,,1,,,≥ 30 ans,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,1,,2,2,1,,1,,,,,,,,LT A2-B1,,,1039270.0,6854967.0,True,,FR,Mittelhausen,Mittelhausen - Vorderen Berg,nécropole,LA_TENE,LT A,-450.0,-320.0,La Tène,7.613126748670103,48.705625554087156,vorderen berg,mittelhausen,mittelhausen|vorderen berg|1039250|6854950,SITE-e1aa1cd917e32c08
68,Morschwiller-le-Bas,Rocade Ouest,1021019,6745177,2000,12,X,Tronconique,,,1,,,,,,,1,,,,,,,1,,,,1,,,,,,,,1,?,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,Jambes croisées,1,,,,,,1,,1,3,,,,,,,,,,,LT A,"BAKAJ (B.), ZEHNER (M.), PELLISSIER (J.) — Rocade ouest de Mulhouse, communes de Didenheim-Mulhouse-Morschwiller-le-Bas (Haut-Rhin) : rapport de fouilles d’évaluation. Habsheim : Antéa Archéologie, 2001. 29 p.",,1021019.0,6745177.0,True,,FR,Morschwiller-le-Bas,Morschwiller-le-Bas - Rocade Ouest,nécropole,LA_TENE,LT A,-450.0,-380.0,La Tène,7.284552682402222,47.728581165087256,rocade ouest,morschwiller le bas,morschwiller le bas|rocade ouest|1021000|6745200,SITE-35019783110e3b5a
