row_index,excel_row_ordinal,commune,nom_site,phase_index,action,site_id,matched_reason,coord_quality,periode,sous_periode
90,294,Mondelange,Schemerten - étape 3,0,merge,SITE-f6b081866a28095e,distance<=55.0m+commune,ok,Hallstatt,Ha D3
91,295,Montigny-Les-Metz,Les Vacons,0,new,SITE-9c581a40f383c3c8,aucune correspondance,ok,Hallstatt,Ha B2-B3
91,295,Montigny-Les-Metz,Les Vacons,1,new,SITE-9c581a40f383c3c8,aucune correspondance,ok,Hallstatt,Ha C
92,296,Moyenvic,La Trumchère de Salival,0,new,SITE-a9f0f5c9091bae80,aucune correspondance,ok,indéterminé,
93,297,Nousseviller-Saint-Nabor,"Baumbusch, forêt de Cadenbronn",0,new,SITE-e3a9f0ef01048a27,aucune correspondance,ok,Hallstatt,Ha C
94,298,Rimling,Buschenbusch,0,new,SITE-d367b004fc27d2c4,aucune correspondance,ok,indéterminé,
95,299,Roussy-Le-Village,"Le Diessert, Neuroder, Helsingerwald,",0,new,SITE-995045ef6800a215,aucune correspondance,ok,indéterminé,
96,300,Rustroff,Buchwaeldchen,0,new,SITE-ef13ea004b7ad70b,aucune correspondance,ok,indéterminé,
97,301,Sailly-Achatel,Le chêne à la Vierge,0,new,SITE-a2fd9105be0d1866,aucune correspondance,ok,indéterminé,
98,302,Saint-Avold,Forêt de Steinberg,0,new,SITE-022c4134db7c2721,aucune correspondance,ok,indéterminé,
99,303,Sarraltroff,Weiherwald,0,new,SITE-e4b3e052cf203442,aucune correspondance,ok,Hallstatt,Ha D2
99,303,Sarraltroff,Weiherwald,1,new,SITE-e4b3e052cf203442,aucune correspondance,ok,Hallstatt,Ha D3
100,304,Sarreinsming,Grosswald,0,new,SITE-2751d98793d0e392,aucune correspondance,ok,indéterminé,
101,305,Schalbach,Kasäcker,0,new,SITE-b739e7d0c3fe8ffb,aucune correspondance,ok,Hallstatt,Ha C
101,305,Schalbach,Kasäcker,1,new,SITE-b739e7d0c3fe8ffb,aucune correspondance,ok,Hallstatt,Ha D1
101,305,Schalbach,Kasäcker,2,new,SITE-b739e7d0c3fe8ffb,aucune correspondance,ok,Hallstatt,Ha D2
102,306,Teterchen,"Auf Löh, Hinter der Muehle, Bichel",0,new,SITE-83d08283d6477a95,aucune correspondance,ok,indéterminé,
103,307,Veckersviller,Kieleyer,0,new,SITE-dc69028ec21ef836,aucune correspondance,ok,Hallstatt,Ha D3
104,308,Veckersviller,Spatzmatt,0,new,SITE-24113f0692960320,aucune correspondance,ok,Hallstatt,Ha D3
105,309,Woippy,Zac des Chiloux,0,merge,SITE-0a99cf4a54502507,distance<=55.0m+commune,ok,Hallstatt,Ha D3
106,310,Xouaxanges,La Tuilerie/Champs du Renard/La Forge,0,new,SITE-85407e74fa87079f,aucune correspondance,ok,Hallstatt,Ha D2
106,310,Xouaxanges,La Tuilerie/Champs du Renard/La Forge,1,new,SITE-85407e74fa87079f,aucune correspondance,ok,Hallstatt,Ha D3
107,311,Ambacourt,Bois d'Ormont,0,new,SITE-a48256c365bd9a43,aucune correspondance,ok,Hallstatt,Ha C
107,311,Ambacourt,Bois d'Ormont,1,new,SITE-a48256c365bd9a43,aucune correspondance,ok,Hallstatt,Ha D1
108,312,Ambacourt,Les Taillotes,0,new,SITE-d8b6200d7b77989e,aucune correspondance,ok,Hallstatt,Ha B2-B3
108,312,Ambacourt,Les Taillotes,1,new,SITE-d8b6200d7b77989e,aucune correspondance,ok,Hallstatt,Ha C
