site_id,commune,lieu_dit,n_sep,type_sep,chrono,periode,sous_periode,genre,nb_ceramique_nmi,position_corps,decomposition,AC Fibule,AC Bracelet,AC Anneau de jambe,AC Torque,AC Boucle d'oreille,Fer épée/poignard,Fer lance,Fer Char,Roche noire Bracelet,Ambre Perle,Verre Perle
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,1072,inhumation,Ha D2,Hallstatt,Ha D2,Féminin,5,,,,2,2,1,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,1077,inhumation,Ha D1-D2,Hallstatt,Ha D1-D2,Féminin,3,,,,,2,1,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,1085,inhumation,Ha D-LT A,Transition,Ha D3 / LT A,Féminin,2,,,,,,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,1087,inhumation,Ha D3-LT A,Transition,Ha D3 / LT A,Féminin,21,,,3,,2,,,,,,,,4
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,1088,inhumation,Ha D2,Hallstatt,Ha D2,Féminin,6,,,2,2,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4525,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,2,,,2,,,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4222,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,2,,,1,,,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4496,inhumation,Ha D,Hallstatt,Ha D,Féminin,4,,,,2,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4267,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,7,,,,2,2,1,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4159,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,2,,,,2,,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4420,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,5,,,,2,,1,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4167,inhumation,Ha D,Hallstatt,Ha D,Féminin,2,,,,2,,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4161,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,4,,,,2,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4282,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,4,,,,2,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4418,inhumation,LT A,La Tène,LT A,Féminin,3,,,1,2,,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4437,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,1,,,,1,,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4421,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,6,,,,3,2,1,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4430,inhumation,Ha D2,Hallstatt,Ha D2,Féminin,5,,,,2,2,,,,,,,,
SITE-402d0e4840aa6ba2,Vandières,Les Cugnots,4164,inhumation,Ha D3,Hallstatt,Ha D3,Féminin,10,,,4,2,3,,,,,,,,
