site_id,id_proto,commune,lieu_dit,type_site,type_site_canon,periode,sous_periode,datation_1_brut,datation_2_brut,longitude,latitude,x_l93,y_l93,statut_fouille,confiance,source,bibliographie,structures_resume,remarques,ea,oa
PROTO-ALS-694,694,Mulhouse,Ratzadoerfle Brüstlein,habitat,HABITAT,HALLSTATT,,Bronze final/Hallstatt,-,7.310754,47.737215,1022927.8399340352,6746241.675902203,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,"Werner 1920, Normand 1981, Duval et al. 1974",dépôt,14 objets en bronze dont 10 fibules de l'époque hallstattienne cf fibula a navicella,,009AH
PROTO-ALS-695,695,Mulhouse-Morschwiller-le-Bas,"Grossaecker, Ungeheuer hoelzle, ZAC Parc des Collines 1-Projet IKEA (phase 2)",habitat,HABITAT,HALLSTATT,,Bronze final,Ha B1,7.281596,47.728546,1020797.9003097612,6745161.082607146,prospection,MEDIUM,BdD_Proto_Alsace_xlsx,Schneikert 2013,"fosse, fosse-silo",3 st.,,6064
PROTO-ALS-702,702,Meyenheim,rue du vignoble,habitat,HABITAT,HALLSTATT,,Bronze final,Ha A2-B1,7.358501,47.914205,1025416.1320416634,6766073.518910079,prospection,MEDIUM,BdD_Proto_Alsace_xlsx,Werlé 2004,Fosse-silo,-,,-
PROTO-ALS-705,705,Mulhouse,rue Alfred Kastler,habitat,HABITAT,HALLSTATT,,Bronze final,Ha A1,7.285396,47.742048,1021000.9608240931,6746674.455725308,prospection,MEDIUM,BdD_Proto_Alsace_xlsx,Chosson 2020,fosse,-,,17486
PROTO-ALS-710,710,Houssen,Obere Maettle,funéraire,NECROPOLE,HALLSTATT,,Bronze final,Ha A2-B1,7.377271,48.1173,1025565.6673644901,6788684.958449057,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,"Bonnet, Plouin, 1995, p.97-99, Müller, 1996, Forrer 1925, p. 38-42",crémation,-,,-
PROTO-ALS-715,715,Herrlisheim-près-Colmar,Village Ziegelgarten,mobilier,HABITAT,HALLSTATT,,Bronze final,Bze D-Ha A1,7.33075,48.017944,1022714.3462465086,6777469.639373879,prospection,MEDIUM,BdD_Proto_Alsace_xlsx,Koch 2016,"point mobilier, habitat",épingle réutilisée dans contexte médiéval,,16541
PROTO-ALS-716,716,Herrlisheim,-,funéraire,NECROPOLE,,,Bronze final,Bze D,,,,,,LOW,BdD_Proto_Alsace_xlsx,Zumstein 1964-65,crémation,-,,-
PROTO-ALS-717,717,Horbourg-Wihr,-,mobilier,DEPOT,HALLSTATT,,Bronze final,Ha A1-A2,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Zumstein 1964-65,"point mobilier, habitat",-,,-
PROTO-ALS-719,719,Horbourg-Wihr,"Schlossfeld, Le Parc des Césars, Rues des Antonins, des Césars, du château",habitat,HABITAT,HALLSTATT,,Bronze final,Ha A1-B2,7.39959,48.075064,1027485.3433580274,6784090.852499094,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Le Martret 2013,concentration de mobilier,-,,5376
PROTO-ALS-720,720,Horbourg-Wihr,-,mobilier,DEPOT,,,Bronze final,Bze D,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Zumstein 1964-65,"point mobilier, habitat",-,,-
PROTO-ALS-723,723,Illzach,-,mobilier,DEPOT,HALLSTATT,,Bronze final,Ha A1,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Zumstein 1964-65,"point mobilier, habitat",-,,-
PROTO-ALS-733,733,Illfurth,Sebelen/Lotissement le vieux vignoble,habitat,HABITAT,HALLSTATT,,Bronze final,Ha A2,7.255654,47.679367,1019150.4220887109,6739600.01201297,,MEDIUM,BdD_Proto_Alsace_xlsx,-,fosse,1 fosse,,681520023
PROTO-ALS-739,739,Wolfgantzen,Route Neuf-Brisach,mobilier,DEPOT,,,Bronze final,Bze D,7.501608,48.027324,1035373.2408273206,6779222.331957493,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Bonnet 1972,"point mobilier, habitat",-,,-
PROTO-ALS-740,740,Wolfgantzen,Katzenroth,mobilier,DEPOT,,,Bronze final,Bze D,7.501608,48.027324,1035373.2408273206,6779222.331957493,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Zumstein 1964-65,"point mobilier, habitat",-,,-
PROTO-ALS-741,741,Wolfgantzen,déviation RN 415,habitat,HABITAT,HALLSTATT,,Bronze final,Ha A2-B1,7.5026555,48.032764,1035416.7433137521,6779830.314869611,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,"Lasserre, 1999, Plouin, 2007, p. 128","fosse, fosse-silo, fosse polylobée","9 fosses, dont 5 silo et 2 fosses polylobées",,683790005
PROTO-ALS-743,743,Zillisheim,Hoell-Faubourg de Mulhouse,habitat,HABITAT,HALLSTATT,,Bronze final,Bronze D - Ha A2,7.303654,47.697068,1022639.4779542884,6741758.806915958,prospection,MEDIUM,BdD_Proto_Alsace_xlsx,Chosson 2020,"Fosse, paléosol",nan,,17401
PROTO-ALS-745,745,Turkheim,-,mobilier,DEPOT,HALLSTATT,,Bronze final,Bze D-Ha A2,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Zumstein 1964-65,"point mobilier, habitat",-,,-
PROTO-ALS-746,746,Uffholtz,"Salle Espérance, rue de Thann, rue du Bourg",habitat,HABITAT,HALLSTATT,,Bronze final,Ha A2-B1,7.175993,47.819837,1012356.9085204457,6754866.244756527,prospection,MEDIUM,BdD_Proto_Alsace_xlsx,Schneikert 2015,concentration de mobilier,-,,6429
PROTO-ALS-748,748,Ungersheim,Lehlematten/Bioscope,funéraire,NECROPOLE,HALLSTATT,,Bronze final,Ha A2-B1,7.297159695,47.8605637,1021165.000044083,6759870.998952436,fouille,LOW,BdD_Proto_Alsace_xlsx,"Châtelet 2006, Zehner et al. 2002",crémation,-,,4465
PROTO-ALS-750,750,Ungersheim,Lehlematten/Bioscope,funéraire,NECROPOLE,HALLSTATT,,Bronze final,Bze D-Ha A1,7.297159695,47.8605637,1021165.000044083,6759870.998952436,fouille,LOW,BdD_Proto_Alsace_xlsx,"Châtelet 2006, Zehner et al. 2003",crémation,-,,4465
PROTO-ALS-754,754,Sierentz,"Grassweg, Schluck",funéraire,NECROPOLE,HALLSTATT,,Bronze final,Bze D-Ha A1,7.452111442,47.66920367,1033932.0000323195,6739284.999785566,prospection,LOW,BdD_Proto_Alsace_xlsx,Schneikert 2020,crémation,-,,17259
PROTO-ALS-755,755,Sierentz,Sandgrube,habitat,HABITAT,HALLSTATT,,Bronze final,Ha A2-B1,7.447003,47.669626,1033546.6040554199,6739310.255413103,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,"Wolf 1987, Wolf 1989, Wolf 1996",fosse à galets chauffés,-,,-
