site_id,id_site_source,nom_site,commune,lieu_dit,pays,admin1,longitude,latitude,x_l93,y_l93,epsg_source,decouverte_annee,decouverte_operation,periode,sous_periode,datation_debut,datation_fin,type_site,confiance,source,bibliographie,rapports,commentaire
ALSACE-BASEL-AF-37,37,Schirrheinerweg,Haguenau,Schirrheinerweg,FR,Bas-Rhin,7.935565312,48.81529865,1062192.0000538435,6868570.999109941,4326.0,1861,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,M. de Ring ; 1865a ; p. 14-15 ; pl. 4 ; fig. 4 ; A.W. Naue ; 1905 ; p. 169-175 ; F. A. Schaeffer ; 1926 ; p. 99-102 ; 1930 ; p. 76-84 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2026,Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2026,reprise récente des données dans PCR Haguenau
ALSACE-BASEL-AF-38,38,Weissensee-Oberfeld,Haguenau,Weissensee-Oberfeld,FR,Bas-Rhin,7.931194016,48.8351323,1061734.0000516686,6870751.999337253,4326.0,1860-1861,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,V. Guerber ; 1860-1861 ; p. 12-13 ; A.W. Naue ; 1905 ; p. 130-143 ; F. A. Schaeffer ; 1926 ; p. 45-52 ; 1930 ; p. 14-19 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2026,Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2026,reprise récente des données dans PCR Haguenau
ALSACE-BASEL-AF-39,39,nord-ouest de la commune,Hangenbieten,nord-ouest de la commune,FR,Bas-Rhin,7.6076741,48.56395181,1039788.000052197,6839219.999393093,4326.0,19e siècle,découverte fortuite,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Flotté ; Fuchs 2000 (CAG 67),,
ALSACE-BASEL-AF-40,40,forêt de Haguenau,Harthouse,,FR,Bas-Rhin,7.73274506,48.78938841,1047499.0000188721,6864783.999536503,4326.0,1857,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,A.W. Naue ; 1905 ; p. 81-90 ; F. A. Schaeffer ; 1926 ; p. 128-130 ; 1930 ; p. 102-116 ; Millet 2008 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2026,Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2026,reprise récente des données dans PCR Haguenau
ALSACE-BASEL-AF-41,41,Eichelgarten,Hatten/Seltz,Eichelgarten,FR,Bas-Rhin,8.081666088,48.89876602,1072302.000048177,6878512.999347319,4326.0,1973,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Schneider 1981,Schneider 1981,
ALSACE-BASEL-AF-42,42,Eschenbusch,Hatten/Seltz,Eschenbusch,FR,Bas-Rhin,8.020664396,48.89860287,1067840.0000419922,6878208.999500469,4326.0,"1850, 1851, 1892",fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Schoepflin -Ravenez ; 1849-1851 ; T. III ; p. 66 et p. 696-697 ; M. de Ring ; 1861 ; p. 33-37 ; pl. XII-XIV ; R. Henning ; 1895 ; p. 2-3 ; 1857-1858 ; A. W. Naue ; 1905 ; p.10-17 ; F.-A. Schaeffer ; 1924a ; p. 49 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2026,Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2026,reprise récente des données dans PCR Haguenau
ALSACE-BASEL-AF-43,43,Hesselbusch,Hatten/Seltz,Hesselbusch,FR,Bas-Rhin,8.072743617,48.89823463,1071653.0000249217,6878411.99918893,4326.0,"1864, 1892, 1972",fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,R. Henning ; 1895 ; p. 3 et carte ; p. 9 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2026,Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2026,reprise récente des données dans PCR Haguenau
ALSACE-BASEL-AF-44,44,Niedersand,Hatten/Seltz,Niedersand,FR,Bas-Rhin,8.085992514,48.89339145,1072657.0000128173,6877936.999300641,4326.0,19e siècle,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,F.A. Schaeffer ; 1930 ; p. 186 ; fig. 153 ; B. Normand ; 1973 ; p. 90 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2026,Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020 ; 2026,reprise récente des données dans PCR Haguenau
ALSACE-BASEL-AF-45,45,Bittlich,Heidolsheim,Bittlich,FR,Bas-Rhin,7.517380611,48.20122938,1035442.0000189292,6798583.99926532,4326.0,1883,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Naue ; 1905 ; p. 322-323 ; Flotté ; Fuchs 2000 (CAG 67) ; Heidolsheim ; site n° 006.,,
ALSACE-BASEL-AF-46,46,Grosses Ried,Heidolsheim,Grosses Ried,FR,Bas-Rhin,7.489537117,48.20878108,1033328.9999944891,6799303.999808827,4326.0,1857,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,M. De Ring ; 1857-58 ; p. 13-28 ; 124-128 ; 1861a ; p. 2-12 ; Flotté ; Fuchs 2000 (CAG 67),,
ALSACE-BASEL-AF-47,47,Unten am Steg,Herbsheim,Unten am Steg,FR,Bas-Rhin,7.633472079,48.35061441,1043079.0000254831,6815657.999424238,4326.0,1863 ; 1987,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,N. Nicklès 1863-1864 ; p. 147 ; carte ; Flotté ; Fuchs 2000 (CAG 67) ; Herbsheim ; site n° 002 ; Lasserre ; Legendre 1987 ; Legendre ; Lasserre 1987,Lasserre ; Legendre 1987 ; Legendre ; Lasserre 1987,
ALSACE-BASEL-AF-48,48,Auwald,Herrlisheim,Auwald,FR,Bas-Rhin,7.892651653,48.73684751,1059587.0000191168,6859669.000022157,4326.0,1989,prospections,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Flotté ; Fuchs 2000 (CAG 67) ; Châtelet ; Gitta 1989 ; p. 29 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020,Châtelet ; Gitta 1989 ; p. 29 ; Tremblay Cormier ; Véber 2018 ; Tremblay Cormier 2020,reprise récente des données dans PCR Haguenau
ALSACE-BASEL-AF-49,49,Willermatt,Hilsenheim,Willermatt,FR,Bas-Rhin,7.547919522,48.29394905,1037114.0000210619,6809001.999987104,4326.0,1933,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,G. F. Heintz ; 1949 ; Flotté ; Fuchs 2000 (CAG 67),,
ALSACE-BASEL-AF-50,50,Sur le ban communal,Hochfelden,Sur le ban communal,FR,Bas-Rhin,7.571376199,48.76001977,1035852.9999795397,6860825.999905246,4326.0,1896,découverte fortuite,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Degen 1968 ; 542 ; fig. 12 ; n° 1 ; Koenig 1985 ; vol. 2 ; 179 ; Flotté ; Fuchs 2000 (CAG 67),,
ALSACE-BASEL-AF-51,51,Achenheimer Berg,Ittenheim,Achenheimer Berg,FR,Bas-Rhin,7.607609755,48.5925272,1039598.0000545022,6842390.999304468,4326.0,2018,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Céciliot et al. 2020 ; p. 118,Céciliot et al. 2020 ; p. 118,
ALSACE-BASEL-AF-52,52,Knoblochsberg,Kolbsheim,Knoblochsberg,FR,Bas-Rhin,7.574630633,48.56394895,1037354.0000134297,6839077.999998186,4326.0,2019,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Mauduit et al. 2023,Mauduit et al. 2023,
ALSACE-BASEL-AF-53,53,Kurze Straenge,Kolbsheim,Kurze Straenge,FR,Bas-Rhin,7.575008434,48.56671867,1037364.0000038355,6839386.9999144375,4326.0,2019,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,Ceciliot et al. 2021,Ceciliot et al. 2021,
ALSACE-BASEL-AF-54,54,Koenigsbruck groupe 1,Leutenheim,Koenigsbruck groupe 1,FR,Bas-Rhin,7.987012047,48.85197301,1065705.0000376697,6872877.9995827265,4326.0,1887 ; 1987,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,A.W. Naue ; 1905 ; p. 100-119 ; F.-A. Schaeffer ; 1926 ; p. 71-80 ; F.-A. Schaeffer 1930a ; p. 25-37 ; Lasserre ; Boës 1997 ; p. 7-8,Lasserre ; Boës 1997 ; p. 7-8,reprise récente des données dans PCR Haguenau
ALSACE-BASEL-AF-55,55,Koenigsbruck groupe 2,Leutenheim,Koenigsbruck groupe 2,FR,Bas-Rhin,7.987012047,48.85197301,1065705.0000376697,6872877.9995827265,4326.0,1887 ; 1987,fouille,,,,,indéterminé,HIGH,Alsace_Basel_AF_xlsx,F.-A. Schaeffer ; 1926 ; p. 80 ; F.-A. Schaeffer 1930a ; p. 37-50 ; Lasserre ; Boës 1997 ; p. 7-8,Lasserre ; Boës 1997 ; p. 7-8,reprise récente des données dans PCR Haguenau
